,Title,Director,Cast,Genre,year
8473,Heroes,Samir Karnik,"Salman Khan, Preity Zinta, Mithun Chakraborty, Bobby Deol, Sunny Deol, Sohail Khan, Vatsal Sheth, Amrita Arora, Dino Morea, Riya Sen",Drama,2008
8474,Roadside Romeo,Jugal Hansraj,"Saif Ali Khan, Kareena Kapoor, Javed Jaffrey","Animation, Family, Romance",2008
8475,Golmaal Returns,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Arshad Warsi, Amrita Arora, Shreyas Talpade, Celina Jaitly, Tusshar Kapoor, Anjana Sukhani",Comedy,2008
8476,Fashion,Madhur Bhandarkar,"Priyanka Chopra, Kangana Ranaut, Arbaaz Khan, Mugdha Godse, Arjan Bajwa, Samir Soni","Drama, Romance",2008
8477,EMI - Liya Hai Toh Chukana Parega,Saurabh Kabra,"Sanjay Dutt, Arjun Rampal, Urmila Matondkar, Malaika Arora, Aashish Chaudhary, Neha Oberoi, Manoj Joshi","Comedy, Social",2008
8478,Ek Vivaah... Aisa Bhi,Kaushik Ghatak,"Sonu Sood, Ishaa Koppikar, Alok Nath",Drama,2008
8479,Dasvidaniya,Shashant Shah,"Vinay Pathak, Neha Dhupia, Rajat Kapoor, Ranvir Shorey","Comedy, Drama, Musical, Romance",2008
8480,Dostana,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol",Comedy,2008
8481,Deshdrohi,Jagdish A. Sharma,"Kamaal Rashid Khan, Krishna Abhishek, Hrishitaa Bhatt, Gracy Singh, Zulfi Syed",Politics,2008
8482,Yuvvraaj,Subhash Ghai,"Anil Kapoor, Salman Khan, Zayed Khan, Katrina Kaif, Boman Irani, Mithun Chakraborty","Musical, Drama, Romance, Family",2008
8483,Gumnaam – The Mystery,Neeraj Pathak,"Mahima Chaudhry, Dino Morea","Thriller, Mystery",2008
8484,Oye Lucky! Lucky Oye!,Dibakar Banerjee,"Abhay Deol, Neetu Chandra, Paresh Rawal, Manu Rishi, Richa Chadda, Archana Puran Singh","Comedy, Drama",2008
8485,Sorry Bhai!,Onir,"Shabana Azmi, Boman Irani, Sanjay Suri, Sharman Joshi, Chitrangada Singh",Romance,2008
8486,Maharathi,Shivam Nair,"Paresh Rawal, Neha Dhupia, Boman Irani",Thriller,2008
8487,Dil Kabaddi,Anil Sharma (Senior),"Konkona Sen Sharma, Soha Ali Khan, Irrfan Khan, Rahul Khanna, Rahul Bose,","Comedy, Romance",2008
8488,Meerabai Not Out,Chandrakant Kulkarni,"Mahesh Manjrekar, Mandira Bedi, Eijaz Khan, Anupam Kher",Drama,2008
8489,"Oh, My God",Sourabh Shrivastava,"Vinay Pathak, Saurabh Shukla, Divya Dutta, Gaurav Gera, Harsh Chhaya",Comedy,2008
8490,Rab Ne Bana Di Jodi,Aditya Chopra,"Shah Rukh Khan, Anushka Sharma",Romance,2008
8491,Wafaa,Rakesh Sawant,"Rajesh Khanna, Laila Khan, Shahib Chopra, Diya Hayat, Tinnu Anand, Sudesh Berry","Romance, Drama, Romance",2008
8492,Ghajini,A. R. Murugadoss,"Aamir Khan, Asin, Jiah Khan, Pradeep Rawat","action, Drama, Mystery, Romance, Thriller",2008
8493,Jumbo,Kompin Kemgumnird,"Akshay Kumar, Lara Dutta, Dimple Kapadia, Rajpal Yadav, Gulshan Grover",Animation,2008
8494,,,,,2008
8495,,,,,2009
8496,,,,,2009
8497,,,,,2009
8498,,,,,2009
8499,,,,,2009
8500,,,,,2009
8501,,,,,2009
8502,,,,,2009
8503,,,,,2009
8504,,,,,2009
8505,8 x 10 Tasveer,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Sharmila Tagore, Javed Jaffrey",Thriller,2009
8506,Ek Se Bure Do,Tarique,"Arshad Warsi, Anita Hassanandani, Rajpal Yadav, Govind Namdeo, Yashpal Sharma, Virendra Saxena, Vijay Raaz, Razzak Khan",Comedy,2009
8507,Pal Pal Dil Ke Saath,V Krishna Kumar,"Ajay Jadeja, Mahie Gill, Satish Shah, Sushma Seth, Vinod Kambli, Sylvie",Drama,2009
8508,Coffee House,Gurbir Grewal,"Ashutosh Rana, Sakshi Tanwar, Harsh Chhaya",Drama,2009
8509,School Days,Dilip Sood,"Pankaj Sharma, Rajiv Sethi, Virender Sharma, Shailly Sehgal",,2009
8510,Royal Utsav,Ravi K. Patwa,"Vikram Kumar, Monalisa, Sudesh Berry, Master Abhishek Sharma, Tripta Chopra, Antra Vishwas, Charu Arora",Historical Drama,2009
8511,Chowrasta Crossroads of Love,Anjan Dutt,"Victor Banerjee, Atul Kulkarni, Roopa Ganguly, Naved Aslam, Aparajita",Drama,2009
8512,Meri Padosan,Prakash Saini,"Sarvar Ahuja, Saadhika Randhawa, Hina Tasleem, Sneha Dhabi, Sanjay Mishra, Ashok Bagla, Khayali",Comedy,2009
8513,Sikandar,Piyush Jha,"Parzan Dastur, Ayesha Kapur, R. Madhavan, Sanjay Suri",Social,2009
8514,99,Raj and D.K.,"Kunal Khemu, Boman Irani, Soha Ali Khan, Cyrus Broacha, Mahesh Manjrekar, Vinod Khanna",Crime comedy,2009
8515,"Suno Na, Ek Nanhi Awaaz[2]",Amy Thanawala,"Tara Sharma, Dharmendra Gohil, Rinku Patel, Avinash Tiwari",Drama,2009
8516,Detective Naani,Romilla Mukherjee,"Ava Mukherjee,Zain Khan, Shweta Gulati, Amit Verma",Drama,2009
8517,Yeh Pal Ho Na Ho kal[3],Ravi Pun,"Prakash Sagar, Rishabh, Tina Rana, Simran",Drama,2009
8518,Sanam Teri Kasam,Lawrence D'Souza,"Saif Ali Khan, Pooja Bhatt, Atul Agnihotri","Comedy, Romance",2009
8519,Team - The Force,Ajay Chandhok,"Sohail Khan, Amrita Arora, Yash Tonk",Action,2009
8520,Kal Kissne Dekha,Vivek Sharma,"Jackky Bhagnani, Vaishali Desai, Rishi Kapoor, Juhi Chawla, Riteish Deshmukh, Sanjay Dutt, Dalip Tahil","Romance, Drama, Social, Comedy",2009
8521,Zor Lagaa Ke...Haiya!,Girish Girija Joshi,"Mithun Chakraborty, Mahesh Manjrekar, Sachin Khedekar, Raj Zutshi, Ashwin Chitale, Gulshan Grover",,2009
8522,Let's Dance,Aarif Sheikh,"Ajay Chaudhary, Gayatri Patel",Romance,2009
8523,Paying Guests,Paritossh Painter,"Shreyas Talpade, Javed Jaffrey, Aashish Chaudhary, Chunky Pandey, Vatsal Sheth, Johnny Lever, Celina Jaitly, Riya Sen, Neha Dhupia",Comedy,2009
8524,New York,Kabir Khan,"John Abraham, Katrina Kaif, Neil Mukesh, Irrfan Khan","Action Thriller, Romance",2009
8525,Kambakkht Ishq,Sabbir Khan,"Akshay Kumar, Kareena Kapoor, Aftab Shivdasani, Amrita Arora, Javed Jaffrey, Kirron Kher, Boman Irani","Action, comedy, romance",2009
8526,Sankat City,Pankaj Advani,"Kay Kay Menon, Anupam Kher, Rimi Sen, Chunky Pandey",Dark comedy,2009
8527,Shortkut,Neeraj Vora,"Akshaye Khanna, Arshad Warsi, Amrita Rao",Comedy,2009
8528,Jashnn,Raksha Mistry & Hasnain S Hyderabadwala,"Adhyayan Suman, Anjana Sukhani, Shahana Goswami, Humayun Saeed",Musical,2009
8529,Luck,Soham Shah,"Sanjay Dutt, Shruti Haasan, Imran Khan, Mithun Chakraborty, Danny Denzongpa, Ravi Kishan, Rati Agnihotri",Action thriller,2009
8530,Love Aaj Kal,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna, Neetu Singh",Romance,2009
8531,Agyaat,Ram Gopal Varma,"Gautam Rode, Nitin Kumar Reddy, Priyanka Kothari",Horror,2009
8532,Chal Chalein,Ujjwal Singh,"Mithun Chakraborty, Rati Agnihotri, Shilpa Shukla, Mukesh Khanna",Social,2009
8533,Teree Sang,Satish Kaushik,"Ruslaan Mumtaz, Sheena Shahabadi, Neena Gupta",Drama,2009
8534,Kaminey,Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra, Amole Gupte",Drama,2009
8535,Life Partner,Rumi Jaffrey,"Govinda, Fardeen Khan, Tusshar Kapoor, Genelia D'Souza, Prachi Desai, Amrita Rao, Anupam Kher","Comedy, romance",2009
8536,"Three: Love, Lies, Betrayal",Vishal Pandya,"Aashish Chaudhary, Akshay Kapoor Nausheen Ali Sardar",Thriller,2009
8537,Daddy Cool,K. Murli Manohar Rao,"Suniel Shetty, Aftab Shivdasani, Aarti Chabria, Aashish Chaudhary, Javed Jaffrey, Rajpal Yadav, Sophie Chaudhry, Tulip Joshi, Chunky Pandey, Prem Chopra, Kim Sharma",Comedy,2009
8538,Kisaan,Puneet Sira,"Jackie Shroff, Sohail Khan, Arbaaz Khan, Diya Mirza, Nauheed Cyrusi",Social,2009
8539,Love Khichdi,Srinivas Bhashyam,"Randeep Hooda, Rituparna Sengupta, Divya Dutta",Comedy,2009
8540,Quick Gun Murugun,Shashanka Ghosh,"Rajendra Prasad, Sandhya Mridul, Nassar",Comedy,2009
8541,Toss,Ramesh Khatkar,"Prashant Raj Sachdev, Ashmit Patel, Rannvijay Singh",Thriller,2009
8542,Yeh Mera India,N. Chandra,"Anupam Kher, Perizaad Zorabian, Purab Kohli, Rajpal Yadav, Sarika, Seema Biswas",Social,2009
8543,Aagey Se Right,Indrajit Nattoji,"Shreyas Talpade, Shiv Panditt, Mahi Gill, Kay Kay Menon, Shruti Seth, Shenaz Treasurywala",Comedy,2009
8544,Chintu Ji,Ranjit Kapoor,"Rishi Kapoor, Priyanshu Chatterjee, Kulraj Randhawa",Comedy,2009
8545,Fox,Deepak Tijori,"Arjun Rampal, Sagarika Ghatge, Udita Goswami, Sunny Deol, Vipul Gupta",Drama,2009
8546,Aamras,Rupali Guha,"Jiya Sarang, Pari Sehgal, Rakhi Chadda, Sanya Balsara, Zarina Wahab, Reema, Sukanya Kulkarni, Shubhi, Vikram Kapadia, Usha Bachani, Sonali Sachdev, Meher, Sunil Sinha, Manoj Pahwa",Drama,2009
8547,Baabarr,Ashu Trikha,"Soham Deepak, Mithun Chakraborty, Urvashi Sharma",Action,2009
8548,Phir Kabhi,Pradeep Guha,"Mithun Chakraborty, Dimple Kapadia, Gulshan Grover, Rati Agnihotri",Drama,2009
8549,Vaada Raha,Samir Karnik,"Bobby Deol, Kangana Ranaut, Dwij Yadav, Atul Agnihotri",Romance,2009
8550,Dil Bole Hadippa!,Anurag Singh,"Shahid Kapoor, Rani Mukerji, Anupam Kher, Dalip Tahil, Rakhi Sawant, Sherlyn Chopra","Romantic comedy, sports",2009
8551,Wanted,Prabhu Deva,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna, Mahesh Manjrekar","Action, romance",2009
8552,Blue Oranges,Rajesh Ganguly,"Rajat Kapoor, Shishir Sharma, Aham Sharma, Puja Kanwal, Rati Agnihotri, Harsh Chhaya",Thriller,2009
8553,Phir Kabhi,V. K. Prakash,"Mithun Chakraborty, Dimple Kapadia, Rati Agnihotri",Romance,2009
8554,What's Your Raashee?,Ashutosh Gowarikar,"Harman Baweja, Priyanka Chopra",Romantic comedy,2009
8555,Do Knot Disturb,David Dhawan,"Govinda, Riteish Deshmukh, Lara Dutta, Sushmita Sen, Sohail Khan, Ranvir Shorey, Rajpal Yadav","Comedy, romance",2009
8556,Wake Up Sid,Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Rahul Khanna, Anupam Kher",Romantic comedy,2009
8557,Acid Factory,Suparn Verma,"Dia Mirza, Fardeen Khan, Irrfan Khan, Manoj Bajpai, Dino Morea, Aftab Shivdasani, Danny Denzongpa, Gulshan Grover",Action,2009
8558,All the Best: Fun Begins,Rohit Shetty,"Sanjay Dutt, Ajay Devgn, Fardeen Khan, Bipasha Basu, Mugdha Godse",Comedy,2009
8559,Blue,Anthony D'souza,"Akshay Kumar, Sanjay Dutt, Lara Dutta, Zayed Khan, Katrina Kaif, Rahul Dev",Action,2009
8560,Main Aurr Mrs Khanna,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan, Deepika Padukone, Dino Morea, Preity Zinta, Nauheed Cyrusi, Yash Tonk, Bappi Lahiri","Drama, romance",2009
8561,Bal Ganesh 2,Pankaj Sharma,,Animation,2009
8562,Fruit and Nut,Kunal Vijaykar,"Boman Irani, Cyrus Broacha, Mahesh Manjrekar, Dia Mirza",Comedy,2009
8563,Love Ka Tadka,A F Inam & Rajan Wagdhare,"Nauheed Cyrusi, Sameer Dattani",Romantic comedy,2009
8564,London Dreams,Vipul Shah,"Salman Khan, Ajay Devgn, Asin Thottumkal, Om Puri","Musical, social, drama, romance",2009
8565,Aladin,Sujoy Ghosh,"Amitabh Bachchan, Sanjay Dutt, Jacqueline Fernandez, Riteish Deshmukh, Sahil Khan, Ratna Pathak Shah",Fantasy,2009
8566,Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Upen Patel","Comedy, romance",2009
8567,Jail,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse",Social,2009
8568,Tum Mile,Kunal Deshmukh,"Emraan Hashmi, Soha Ali Khan",Romance,2009
8569,Aao Wish Karein,Glenn Baretto,"Aftab Shivdasani, Aamna Shariff, Johnny Lever, Ritesh Deshmukh",Fantasy,2009
8570,Kurbaan,Rensil D'Silva,"Saif Ali Khan, Kareena Kapoor, Vivek Oberoi, Dia Mirza, Om Puri, Kirron Kher, Nauheed Cyrusi","Thriller, romance",2009
8571,Shaabash! You Can Do It,Shankar Mondal,"Hitesh Agrawal, Mansi Dovhal, Sudesh Berry, Nasir Khan","Comedy, thriller, social",2009
8572,Marega Salaa,Devang Dholkia,"Jimmy Sheirgill, Kim Sharma, Hrishita Bhatt, Rahul Handa",Action,2009
8573,De Dana Dan,Priyadarshan,"Akshay Kumar, Katrina Kaif, Sunil Shetty, Paresh Rawal, Neha Dhupia, Sameera Reddy",Comedy,2009
8574,Radio,Ishaan Trivedi,"Himesh Reshammiya, Shenaz Treasurywala, Sonal Sehgal",Musical,2009
8575,Paa,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal","Drama, family",2009
8576,Rocket Singh: Salesman of the Year,Shimit Amin,"Ranbir Kapoor, Shazahn Padamsee, Sharon Prabhakar",Comedy,2009
8577,"Raat Gayi, Baat Gayi?",Saurabh Shukla,"Rajat Kapoor, Vinay Pathak, Neha Dhupia, Navneet Nishan, Dalip Tahil, Anuradha Menon, Aamir Bashir, Iravati Harshe",Drama,2009
8578,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Sharman Joshi, R. Madhavan, Boman Irani, Omi Vaidya",Comedy,2009
8579,Accident on Hill Road,Mahesh Nair,"Celina Jaitly, Farooq Sheikh",Thriller,2009
8580,,,,,2009
8581,,,,,2009
8582,,,,,2009
8583,,,,,2010
8584,,,,,2010
8585,,,,,2010
8586,,,,,2010
8587,,,,,2010
8588,,,,,2010
8589,,,,,2010
8590,,,,,2010
8591,,,,,2010
8592,,,,,2010
8593,Dulha Mil Gaya,Muddassar Aziz,"Fardeen Khan, Ishita Sharma, Sushmita Sen, Shahrukh Khan, Tara Sharma, Anushka Manchanda, Mohit Chadda, Vivek Vaswani, Johny Lever",Romantic comedy,2010
8594,Pyaar Impossible!,Jugal Hansraj,"Priyanka Chopra, Uday Chopra, Anupam Kher, Dino Morea",Romantic comedy,2010
8595,Chance Pe Dance,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza","Comedy, Romance",2010
8596,Hello! Hum Lallan Bol Rahe Hain,Dileep Shukla,"Rajpal Yadav, Preeti Mehra",Comedy,2010
8597,Veer,Anil Sharma,"Salman Khan, Zarine Khan, Mithun Chakraborty, Sohail Khan, Jackie Shroff",Epic Film,2010
8598,Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Vidya Balan, Arshad Warsi","Comedy, Crime, Romance",2010
8599,Rann,Ram Gopal Varma,"Amitabh Bachchan, Sudeep, Riteish Deshmukh, Paresh Rawal, Rajpal Yadav, Gul Panag",Drama,2010
8600,Road To Sangam,Amit Rai,"Paresh Rawal, Om Puri, Javed Sheikh",Drama,2010
8601,The Hangman,Vishal Bhandari,"Om Puri, Shreyas Talpade, Gulshan Grover, Smita Jaykar, Tom Alter, Anita Kanwar, Yatin Karyekar, Nazneen Ghaani, Amrita Bedi",Drama,2010
8602,Striker,Chandan Arora,"Siddharth Narayan, Aditya Pancholi, Ankur Vikal, Anupam Kher, Seema Biswas",Action,2010
8603,My Name Is Khan,Karan Johar,"Shahrukh Khan, Kajol, Jimmy Sheirgill",Drama,2010
8604,Sukhmani: Hope for Life,Manjeet Mann,"Gurdas Maan, Juhi Chawla, Divya Dutta",Drama,2010
8605,Aakhari Decision,Deepak Bandhu,"Anant Jog, Nagesh Bhonsle, Mushtaq Khan",Action,2010
8606,Click,Sangeeth Sivan,"Shreyas Talpade, Sadha, Sneha Ullal",Horror,2010
8607,Toh Baat Pakki!,Kedar Shinde,"Tabu, Sharman Joshi, Vatsal Sheth",Comedy,2010
8608,Karthik Calling Karthik,Vijay Lalwani,"Farhan Akhtar, Deepika Padukone, Ram Kapoor, Shefali Shah",Thriller,2010
8609,Teen Patti,Leena Yadav,"Amitabh Bachchan, Ben Kingsley, R. Madhavan, Saira Mohan, Raima Sen, Jackie Shroff, Ajay Devgn, Mahesh Manjrekar, Shraddha Kapoor","Drama, Thriller",2010
8610,Atithi Tum Kab Jaoge?,Ashwani Dhir,"Ajay Devgn, Konkona Sen Sharma, Paresh Rawal, Satish Kaushik",Comedy,2010
8611,Hello Zindagi,Raja Unnithan,"Mrunmayee Lagoo, Milind Gunaji, Neena Gupta, Kanwaljeet Singh",Drama,2010
8612,"Road, Movie",Dev Benegal,"Abhay Deol, Satish Kaushik, Tannishtha Chatterjee, Mohammed Faisal Usmani",Drama,2010
8613,Rokkk,Rajesh Ranshinge,"Udita Goswami, Shaad Randhawa, Nishigandha Wad, Tanushree Dutta",Thriller,2010
8614,Thanks Maa,Irfan Kamal,"Alok Nath, Raghuveer Yadav, Barry John, Sanjay Mishra",Drama,2010
8615,Do Dilon Ke Khel Mein,Akash Pandey,"Rajesh Khanna, Nausheen Ali Sardar, Sonika Gill, Satish Kaushik",Romantic comedy,2010
8616,Hide & Seek,Shawn Arranha,"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Samir Kochhar",Thriller,2010
8617,Na Ghar Ke Na Ghaat Ke,Rahul Aggarwal,"Rahul Aggarwal, Paresh Rawal, Narayani Shastri, Om Puri",Comedy,2010
8618,Right Yaaa Wrong,Neeraj Pathak,"Sunny Deol, Irrfan Khan, Isha Koppikar, Konkona Sen Sharma",Action,2010
8619,Trump Card,Arshad Khan,"Vikrum Kumar, Urvashi Chowdhary, Mansi Dovhal, Sheetal Bedi","Action, Thriller",2010
8620,Idiot Box,Sunanda Mitra,"Sushant Singh, Hrishita Bhatt, Jyoti Gauba, Milind Gunaji",Drama,2010
8621,Lahore,Sanjay Puran Singh Chauhan,"Aanaahad, Shraddha Das, Farooq Sheikh, Nafisa Ali",Sports/Social,2010
8622,Love Sex Aur Dhokha,Dibakar Banerjee,"Amit Sial, Anshuman Jha, Arya Banerjee, Atul Mongia, Neha Chauhan, Shruti",Found footage,2010
8623,Shaapit,Vikram Bhatt,"Aditya Narayan, Shweta Agarwal, Rahul Dev, Shubh Joshi",horror,2010
8624,Hum Tum Aur Ghost,Kabeer Kaushik,"Dia Mirza, Sandhya Mridul, Boman Irani",Comedy,2010
8625,It's a Man's World,Saurabh Sengupta,"Mohsin Akhtar, Mouli Ganguly, Ranjeet Jha, Mikhil Chindaramani",Social,2010
8626,Mittal v/s Mittal,Karan Razdan,"Rituparna Sengupta, Rohit Roy, Gulshan Grover, Suchitra Krishnamurthy",Romance,2010
8627,My Friend Ganesha 3,Rajiv S. Ruia,"Rahul Pendkalkar, Baba Sehgal, Eva Grover, Sayaji Shinde",Animation,2010
8628,Prem Kaa Game,Ashok Kheny,"Arbaaz Khan, Tara Sharma, Madhuri Bhattacharya, Johnny Lever",Comedy,2010
8629,Well Done Abba,Shyam Benegal,"Boman Irani, Minissha Lamba, Sameer Dattani, Ravi Kissen",Social,2010
8630,,,,,2010
8631,Pankh,Sudipto Chattopadhyaya,"Bipasha Basu, Maradona Rebello, Mahesh Manjrekar, Ronit Roy Sanjeeda Sheikh",Social,2010
8632,Sadiyaan,Raj Kanwar,"Luv Sinha, Ferena Wazeir, Rekha, Hema Malini, Rishi Kapoor",Romance,2010
8633,Tum Milo Toh Sahi,Kabir Sadanand,"Nana Patekar, Dimple Kapadia, Rehan Khan, Sunil Shetty, Vidya Malvade, Anjana Sukhani, Mohnish Behl",Social/Drama,2010
8634,Jaane Kahan Se Aayi Hai,Milap Zaveri,"Riteish Deshmukh, Jacqueline Fernandez",Comedy/Romance/Fantasy,2010
8635,Prince,Kookie V. Gulati,"Vivek Oberoi, Aruna Shields, Nandana Sen, Neeru Bajwa, Sanjay Kapoor",Action/Thriller,2010
8636,The Japanese Wife,Aparna Sen,"Rahul Bose, Raima Sen, Chigasu Takaku, Moushmi Chatterjee",Romance,2010
8637,Paathshaala,Milind Ukey,"Shahid Kapoor, Nana Patekar, Ayesha Takia, Swini Khara",Social,2010
8638,Phoonk 2,Milind Gadagkar,"Sudeep, Neeru Bajwa, Amruta Khanvilkar, Ahsaas Channa",Horror,2010
8639,Apartment,Jagmohan Mundhra,"Rohit Roy, Tanushree Dutta, Neetu Chandra, Anupam Kher",Thriller,2010
8640,Bird Idol,Jyotin Goel,,Animation,2010
8641,City of Gold,Mahesh Manjrekar,"Vineet Kumar, Sameer Dharmadhikari, Kashmira Shah, Satish Kaushik",Social,2010
8642,Kuchh Kariye,Jagbir Dahiya,"Sukhwinder Singh, Vikrum Kumar, Rufy Khan",,2010
8643,Muskurake Dekh Zara,Som Shekar,"Gashmeer Mahajani, Twinkle Patel, Sunil Sabarwal, Simran Suri",Romantic Comedy,2010
8644,Chase,Jagmohan Mundhra,"Udita Goswami, Caterina Murino, Rajesh Khattar, Shweta Menon",Action,2010
8645,Housefull,Sajid Khan,"Akshay Kumar, Arjun Rampal, Deepika Padukone, Riteish Deshmukh, Lara Dutta, Malaika Arora, Randhir Kapoor, Jiah Khan, Boman Irani, Chunky Pandey",Comedy,2010
8646,Badmaash Company,Parmeet Sethi,"Shahid Kapoor, Anushka Sharma, Meiyang Chang, Vir Das, Harry Mearing",Romance/Drama,2010
8647,It's a Wonderful Afterlife,Gurinder Chadha,"Shabana Azmi, Shaheen Khan, Goldy Notay, Sally Hawkins",Drama,2010
8648,Bumm Bumm Bole,Priyadarshan,"Darsheel Safary, Atul Kulkarni, Rituparna Sengupta, Ziyah Vastani",Children/Drama,2010
8649,Admissions Open,K.D. Satyam,"Anupam Kher, Aashish Vidyarthi, Ankur Khanna, Pramod Moutho",Drama,2010
8650,Kushti,T K Rajeev Kumar,"Rajpal Yadav, Khali, Nargis, Sharat Saxena",Comedy/Romance,2010
8651,Kites,Anurag Basu,"Hrithik Roshan, Kangana Ranaut, Bárbara Mori, Kabir Bedi, Nick Brown",Thriller/Romance,2010
8652,Raajneeti,Prakash Jha,"Ajay Devgn, Ranbir Kapoor, Arjun Rampal, Nana Patekar, Katrina Kaif, Manoj Bajpai, Naseeruddin Shah, Sarah Thompson",Drama/Political Thriller,2010
8653,Ek Second... Jo Zindagi Badal De?,Partho Ghosh,"Jackie Shroff, Manisha Koirala, Aman Verma",Thriller,2010
8654,Raavan,Mani Ratnam,"Vikram Kennedy, Abhishek Bachchan, Aishwarya Rai Bachchan, Govinda, Nikhil Dwivedi",Action/Romance,2010
8655,Krantiveer - The Revolution,Mehul Kumar,"Jahan Bloch, Sameer Aftab",Action,2010
8656,Mr. Singh Mrs. Mehta,Pravesh Raman,"Aruna Shields, Prashant Narayanan",Drama,2010
8657,,,,,2010
8658,I Hate Luv Storys,Punit Malhotra,"Imran Khan, Sonam Kapoor, Sameer Dattani, Aamir Ali",Romance,2010
8659,Milenge Milenge,Satish Kaushik,"Kareena Kapoor, Shahid Kapoor, Aarti Chabria",Romance,2010
8660,Red Alert: The War Within,Anant Mahadevan,"Sunil Shetty, Vinod Khanna, Naseeruddin Shah, Sameera Reddy",Action,2010
8661,Lamhaa,Rahul Dholakia,"Sanjay Dutt, Bipasha Basu, Kunal Kapoor, Anupam Kher",Action,2010
8662,Tere Bin Laden,Abhishek Sharma,"Ali Zafar, Barry John, Nikhil Ratnaparkhi",Comedy,2010
8663,Udaan,Vikramaditya Motwane,"Ronit Roy, Rajat Barmecha",Drama,2010
8664,Khatta Meetha,Priyadarshan,"Akshay Kumar, Trisha Krishnan, Rajpal Yadav, Johnny Lever, Urvashi Sharma","Comedy, Drama, Romance",2010
8665,Once Upon a Time in Mumbaai,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda","Action, Romance, Thriller, Crime",2010
8666,Aisha,Rajshree Ojha,"Sonam Kapoor, Abhay Deol, Anand Tiwari, Ira Dubey, Amrita Puri, Arunoday Singh, Cyrus Sahukar, Lisa Haydon","Romance, Comedy",2010
8667,Help,Rajeev Virani,"Bobby Deol, Mugdha Godse, Sophia Handa, Shreyas Talpade",Horror,2010
8668,Peepli Live,Anusha Rizvi,"Omkar Das Manikpuri, Raghubir Yadav","Political, Comedy",2010
8669,Lafangey Parindey,Pradeep Sarkar,"Neil Nitin Mukesh, Deepika Padukone",Romance,2010
8670,...And Once Again,Amol Palekar,"Antara Mali, Rajat Kapoor, Rituparna Sengupta",Drama,2010
8671,Hello Darling,Manoj Tiwari,"Celina Jaitly, Isha Koppikar, Gul Panag",Comedy,2010
8672,Antardwand,Sushil Rajpal,"Raja Chaudhary, Vinay Pathak",Crime,2010
8673,Aashayein,Nagesh Kukunoor,"John Abraham, Sonal Sehgal, Prateeksha Lonkar",Drama,2010
8674,Soch Lo,Sartaj Singh Pannu,"Sartaj Singh Pannu, Barkha Madan, Bhupinder Singh","Mystery, Suspense",2010
8675,We Are Family,Siddharth Malhotra,"Arjun Rampal, Kajol, Kareena Kapoor","Drama, Romance",2010
8676,Mallika,Wilson Louis,"Sameer Dattani, Sheena Nayar, Himanshu Malik",Horror,2010
8677,The Film Emotional Atyachar,Akshay Shere,"Mohit Alawat, Kalki Koechlin, Vinay Pathak, Ranvir Shorey, Ravi Kishan, Sakshi Gulati",Drama,2010
8678,Dabangg,Abhinav Kashyap,"Salman Khan, Arbaaz Khan, Sonakshi Sinha, Sonu Sood, Mahie Gill, Vinod Khanna, Dimple Kapadia, Om Puri, Anupam Kher, Mahesh Manjrekar, Malaika Arora Khan",Action,2010
8679,Anjaana Anjaani,Siddharth Anand,"Priyanka Chopra, Ranbir Kapoor, Zayed Khan",Romance,2010
8680,Benny and Babloo,Yunus Sajawal,"Kay Kay Menon, Rajpal Yadav, Riya Sen, Shweta Tiwari, Rukhsar Rehman, Anita Hassanandani, Richa Chadha, Maushumi Udeshi, Hiten Paintal, Aasif Sheikh",Comedy,2010
8681,Khichdi: The Movie,Aatish Kapadia,"Supriya Pathak, Anang Desai, Rajeev Mehta, Jamnadas Majethia, Nimisha Vakharia",Comedy,2010
8682,Crook,Mohit Suri,"Emraan Hashmi, Neha Sharma",Thriller,2010
8683,Do Dooni Chaar,Habib Faisal,"Rishi Kapoor, Neetu Singh",Comedy,2010
8684,Aakrosh,Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu, Reema Sen, Paresh Rawal",Thriller,2010
8685,Pusher,Assad Raja,"Mahima Chaudhry, Pasha Bocarie, Marc Anwar, Assad Raja","Action, Drama",2010
