,Title,Director,Cast,Genre,year
338,Gentleman Loafer a.k.a. Bhadraveshi Goonda,,"Gulab, Madanrai Vakil, Jilloobai, Durmad",Social,1926
339,Golden Lotus a.k.a. Suvarna Kamal,K. P. Bhave,"Master Vithal, Miss Mary, Heera, Shiraz Ali Hakim, Janibabu, Miss Rosy",Mythology,1926
340,Indrajal a.k.a. Missing Bracelet,Bhagwati Mishra,"Fatma Begum, Zubeida, Elizer, Jilloobai",Mythology,1926
341,Jaydev a.k.a. Joydeb,,Patience Cooper,Devotional,1926
342,Jungle Ni Jadibuti a.k.a. Love Rewarded,Manilal Joshi,"Tara, Bachu, Balabhai",Social,1926
343,Kacha Devyani a.k.a. Vidhyaharan,Shree Nath Patankar,"K. B. Athavale, Thatte, Bhonsle",Mythological,1926
344,Kalabaaz Ashaq a.k.a. Wooing Tactics,V. K. Pattani,"Dorothy, Batukbhai, Shanta, Allarakha Mir Nathalal Soni, Monghibai, Gatubhai Vaidya, Mavji Muflis",Social,1926
345,Kashmeera a.k.a. Enemy's Daughter,Manilal Joshi,"Zubeida, Madanrai Vakil, W. M. Khan",Costume,1926
346,Kataryu Gap,Dinshaw Zhaveri,Madanrai Vakil,Social,1926
347,Keechak Vadh,G. V. Sane,"Bhaurao Datar, Yamuna Gole, Bachu",Mythology,1926
348,Lakho Vanjaro,Homi Master,"Jamuna, Gohar, Khalil",Legend,1926
349,Lion Of Mewar a.k.a. Diwan Bhamansha,M. D. Bhavnani,"Elizer, Putli, Jilloobai, Madanrai Vakil",Historical,1926
350,Love Is Blind a.k.a. Raja Ne Gami Te Rani,Kanjibhai Rathod,"Ermeline, Gulab",Social,1926
351,Madan Kala,Harihar Diwana,"Master Vithal, Tara, Jani Babu, Miss Mary, Asha",Fantasy,1926
352,Madhav Kam Kundala,Chandulal Shah,"Raja Sandow, Putli, Miss Fiske, Blanche Verni",Legend,1926
353,Manovijaya,Shree Nath Patankar,"K. B. Athavale, Nargis, Takle",,1926
354,Marriage Market a.k.a. Lagn Ke Lilam,Bachoo Babu,"Moti, Usha Rani, Siddimiya",Social,1926
355,Mena Kumari,M. D. Bhavnani,"Gohar, Raja Sandow, Vaidya, Ghanashyam",Costume,1926
356,Midnight Rider a.k.a. Pahadi Pindharo,Bhagwati Mishra,"Madanrai Vakil, Putli, Miss Jean, Jilloobai, Rajhans",Costume,1926
357,Moon Cursed By Ganpati a.k.a. Chaturthicha Chandra,Dadasaheb Phalke,"Bhaurao Datar,",Mythology,1926
358,Mohini Avatar a.k.a. Mohini Incarnation Of God a.k.a. Samudra Manthan,Raghupathy S. Prakasa,,Mythology,1926
359,Mumtaz Mahal,Homi Master,"Raja Sandow, Sulochana, Gohar, Siddimiya",Historical,1926
360,Neera a.k.a. Beautiful Snake Of Aravali,"Rama Chowdhury, R. G. Torney","Raja Sandow, Zubeida, Madanrai Vakil, Baba Vyas, Putli, Ghory, Dabir, K. B. Athavale",Fantasy,1926
361,Pagal Premi a.k.a. Girl Mad,M. D. Bhavnani,"Sulochana, Madanrai Vakil, M. D. Bhavnani",Social,1926
362,Panna Ratna a.k.a. Jewel Of Mewar,Harshadrai Mehta,"Fatma Begum, Nandram, Gangaram, Miss Fayma, Master Kamlakar",Legend,1926
363,Prahlad a.k.a. Worshipper Prahlad a.k.a. Bhakta Prahlad,Baburao Painter,"V. Shantaram, Kamladevi, Balasaheb Yadav, Gulabbai, Bal Kelkar, Padmabai, G. R. Mane",Mythology,1926
364,Profulla a.k.a. Prafulla,Jyotish Bannerji,"Patience Cooper, Satyen Dey, Dadibhai Sarkari",Social,1926
365,Punch Mahabhuta,"Homi Master, Dr. Alvaro",,Social,1926
366,Pyari Mamta,Bhagwati Mishra,"Madanrai Vakil, Putli, Jilloobai",Social,1926
367,Radha Madhav,K. P. Bhave,"Elizer, Madanrai Vakil, Jilloobai, Baburao Sansare, Dwarki, Asooji",Religious,1926
368,Raja Bhoj a.k.a. Man And His Destiny a.k.a. Trial Of Destiny,Dinshaw J. Jhaveri,"Zubeida, Madanrai Vakil, Jilloobai, Saku",Legend Historical,1926
369,Ra Kawat a.k.a. Pranay Milan,M. D. Bhavnani,"Raja Sandow, Ghanashyam, Sulochana (Ruby Myers), Gohar",Historicl,1926
370,Ram Bharose a.k.a. Perchance,Harshadrai Mehta,"Ermeline, Gulab, Nandram, Prabhudas, Durga, Kusum Kumari",Social,1926
371,Ram Rajya Vijay a.k.a. The Triumph Of Lord Rama,Dadasaheb Phalke,,Religious,1926
372,Ramrajya Vijay,G. V. Sane,,Religious,1926
373,Ratan Manjari a.k.a. Ratna Manjari,Manilal Joshi,"Master Vithal, Miss Mary",,1926
374,Samrat Shiladitya a.k.a. Greatest Sacrifice,M. D. Bhavnani,"Raja Sandow, Sulochana (Ruby Myers), Gohar, Moti",Historicl,1926
375,Sant Eknath a.k.a. Saint Of Paithan,Dadasaheb Phalke,"Bhaurao Datar, Gotiram",Devotional,1926
376,Sarkari Praser,Baburao Painter,,,1926
377,Sati Jasma a.k.a. Jasma Odan,Homi Master,"Gohar, Khalil, Jumuna, Noor Mohammed Charlie, R. N. Vaidya, Ghanshyam",Devotional,1926
378,Sati Menadevi a.k.a. Costly Couplet,P. J. Jhaveri,"Zubeida, Madanrai Vakil, Udvadia, Jilloobai",Legend,1926
