director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Ram Gopal Varma,Amitabh Bachchan, Jackie Shroff, Amit Sadh & Yami Gautam,Crime Drama,sarkar 3,Amitabh Bachchan  Jackie Shroff  Amit Sadh & Yami Gautam Ram Gopal Varma Crime Drama
Mohit Suri,Arjun Kapoor & Shraddha Kapoor,unknown,unknown,Drama Romance,half girlfriend,Arjun Kapoor & Shraddha Kapoor unknown unknown Mohit Suri Drama Romance
"Gurmeet Ram Rahim Singh, Honeypreet Insan",Gurmeet Ram Rahim Singh, Sukhottam Insan,unknown,Comedy Drama,jattu engineer,"Gurmeet Ram Rahim Singh  Sukhottam Insan unknown Gurmeet Ram Rahim Singh, Honeypreet Insan Comedy Drama"
Saket Chaudhary,Irrfan Khan & Saba Qamar,unknown,unknown,Comedy Drama,hindi medium,Irrfan Khan & Saba Qamar unknown unknown Saket Chaudhary Comedy Drama
Rajnish Jaiswal,Mukesh Manas, Urmilaa Mahanta,unknown,Romance/drama,chakallaspur,Mukesh Manas  Urmilaa Mahanta unknown Rajnish Jaiswal Romance/drama
James Erskine,Sachin Tendulkar,unknown,unknown,Documentary Drama,sachin: a billion dreams,Sachin Tendulkar unknown unknown James Erskine Documentary Drama
Aditya Sarpotdar,Arsh Sehrawat, Shrenu Parikh, Shilpa Tulaskar & Mukesh Tiwari,Romance,thodi thodi si manmaaniyan,Arsh Sehrawat  Shrenu Parikh  Shilpa Tulaskar & Mukesh Tiwari Aditya Sarpotdar Romance
Konkona Sen Sharma,Vikrant Massey, Ranvir Shorey, Kalki Koechlin,Drama Thriller,a death in the gunj,Vikrant Massey  Ranvir Shorey  Kalki Koechlin Konkona Sen Sharma Drama Thriller
Ruchi Narain,Salman Khan, Raveena Tandon & Kunal Khemu,unknown,Animation,hanuman: da' damdaar,Salman Khan  Raveena Tandon & Kunal Khemu unknown Ruchi Narain Animation
Hasnain Hyderabadwala,Himansh Kohli, Zoya Afroz & Darshan Jariwala,unknown,Comedy Drama Romance,sweetiee weds nri,Himansh Kohli  Zoya Afroz & Darshan Jariwala unknown Hasnain Hyderabadwala Comedy Drama Romance
Prawaal Raman,Huma Qureshi & Saqib Saleem,unknown,unknown,Horror,dobaara: see your evil,Huma Qureshi & Saqib Saleem unknown unknown Prawaal Raman Horror
Sunil Sanjan,Jayesh Raj & Sonal Singh,unknown,unknown,Crime Mystery Thriller,flat 211,Jayesh Raj & Sonal Singh unknown unknown Sunil Sanjan Crime Mystery Thriller
Sunaina Bhatnagar,Manisha Koirala,unknown,unknown,Drama,dear maya,Manisha Koirala unknown unknown Sunaina Bhatnagar Drama
Dinesh Vijan,Sushant Singh Rajput, Kriti Sanon & Jim Sarbh,unknown,Romance Thriller,raabta,Sushant Singh Rajput  Kriti Sanon & Jim Sarbh unknown Dinesh Vijan Romance Thriller
Ajay K Pannalal,Rajkummar Rao & Shruti Haasan,unknown,unknown,Romance Comedy Drama,behen hogi teri,Rajkummar Rao & Shruti Haasan unknown unknown Ajay K Pannalal Romance Comedy Drama
